"race_no","going","rating","winning_odds","actual_weight","on_date_weight","draw","race_class","distance","course","race_location","track","raceday","racemonth","raceyear","finish_time","predtime"
9,"GF",84,14,115,1094,12,"2",1800,"B+2","ST","Turf",5,6,2016,105.88,107.011019939863
2,"G",52,35,128,1064,9,"4",1000,"C","ST","Turf",16,5,2015,58.69,60.6556000244333
3,"G",52,5.1,123,1101,7,"4",1200,"A+3","ST","Turf",29,3,2015,69.54,71.1585597417287
10,"GF",64,1.7,115,1113,2,"3",1200,"A+3","ST","Turf",3,5,2015,69.2,71.7308463289788
10,"GF",71,1.8,125,1103,5,"3",1200,"A+3","ST","Turf",7,6,2015,69.63,71.8075310349385
8,"G",71,2.3,128,1118,2,"3",1200,"A","ST","Turf",28,9,2015,69.39,70.9767928732506
9,"G",73,3,127,1120,1,"3",1200,"C","ST","Turf",10,10,2015,69.56,70.6326370384616
6,"Y",74,3.4,127,1128,10,"3",1200,"A","HV","Turf",9,12,2015,71.03,71.2098745675678
9,"G",80,2.6,114,1140,5,"2",1200,"A","HV","Turf",3,2,2016,70.24,70.6502185103746
7,"GY",86,2.7,119,1135,10,"2",1200,"A","HV","Turf",9,3,2016,70.2,70.780099280431
8,"G",87,4.3,121,1130,11,"2",1200,"C","HV","Turf",27,4,2016,70.45,70.5815113912726
9,"G",87,1.9,123,1129,1,"2",1200,"B","HV","Turf",18,5,2016,69.36,70.3306268556236
8,"G",94,2.8,125,1121,1,"2",1200,"A","HV","Turf",6,7,2016,69.09,70.6206529728388
3,"G",105,2.8,117,1135,2,"1",1200,"B","ST","Turf",3,9,2016,68.19,70.5919493531725
4,"GF",52,52,126,1149,13,"4",1200,"A","ST","Turf",26,4,2015,70.1,72.2020476838814
6,"G",52,4.3,125,1137,11,"4",1200,"C+3","ST","Turf",24,5,2015,69.95,71.5413624084699
5,"GF",52,5.1,125,1125,13,"4",1400,"B+2","ST","Turf",14,6,2015,83.5,83.0088165760973
5,"GF",53,2.9,126,1126,1,"4",1400,"B+2","ST","Turf",12,7,2015,82.07,82.9109086068444
2,"GF",58,2.6,131,1137,10,"4",1400,"C+3","ST","Turf",19,9,2015,83.4,81.005516076647
5,"G",58,5.8,132,1133,2,"4",1400,"C","ST","Turf",10,10,2015,83.14,83.167833932346
6,"G",58,7.9,126,1145,6,"4",1600,"A+3","ST","Turf",14,11,2015,97,98.367569433112
3,"G",57,10,128,1120,10,"4",1200,"B+2","ST","Turf",21,11,2015,70.43,70.9805835162487
6,"G",56,17,128,1149,11,"4",1400,"C+3","ST","Turf",19,12,2015,84.18,83.3505596389075
3,"GF",52,10,126,1164,6,"4",1000,"A+3","ST","Turf",3,5,2015,55.72,61.1821003046499
2,"GF",60,1.5,133,1164,5,"4",1000,"A","ST","Turf",31,5,2015,56.31,61.4953256436078
5,"GF",52,8.8,126,1160,11,"4",1200,"A","HV","Turf",6,5,2015,70.27,71.6727495305992
5,"Y",58,2.4,132,1148,6,"4",1200,"C","HV","Turf",20,5,2015,71.27,72.2136292936806
8,"GF",65,1.6,118,1159,4,"3",1200,"C","HV","Turf",17,6,2015,70.25,70.6774241365726
10,"GF",67,3.2,121,1150,2,"3",1400,"B+2","ST","Turf",12,7,2015,81.92,82.4763227492968
10,"GF",69,2.1,124,1163,5,"3",1400,"C+3","ST","Turf",19,9,2015,82.46,82.2791609790931
8,"GY",69,3.6,125,1170,2,"3",1400,"B+2","ST","Turf",4,10,2015,82.8,81.9393447935658
